               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.081115,             0.02264,            0.078622,                   0,                   0,                   0,                   0,             0.04744,            0.012534,            0.056946,             0.00188,             0.00188,             0.08308
                   1,            0.065219,            0.025548,             0.07792,           0.0010741,             0.14492,             0.00155,          0.00073055,            0.042079,            0.012455,            0.056474,           0.0037695,           0.0037695,            0.066069
                   2,            0.058216,             0.02647,            0.078652,             0.61938,            0.051012,            0.038169,            0.010516,            0.037876,            0.012351,            0.055682,           0.0056567,           0.0056567,            0.049057
                   3,            0.053369,            0.025207,            0.076812,             0.39917,            0.077244,            0.021881,           0.0052197,             0.03815,            0.020485,            0.055598,           0.0075402,           0.0075402,             0.03204
                   4,            0.051532,            0.023842,            0.076294,             0.03054,             0.20922,            0.042798,            0.017463,            0.031996,            0.012096,            0.054394,           0.0094182,           0.0094182,            0.015018
                   5,            0.050902,              0.0221,            0.076238,             0.14622,             0.10186,            0.043239,            0.015794,             0.03117,            0.011311,            0.053891,           0.0099639,           0.0099639,           0.0099639
                   6,            0.046108,            0.021048,            0.073539,            0.061189,              0.3373,             0.10496,             0.04172,            0.031009,            0.010053,            0.053637,           0.0099639,           0.0099639,           0.0099639
                   7,             0.04302,            0.019532,            0.073621,             0.15609,             0.30066,             0.10932,            0.047305,            0.029461,           0.0079866,            0.052372,           0.0099481,           0.0099481,           0.0099481
                   8,            0.041225,            0.019315,            0.073352,             0.42713,             0.18599,             0.16676,            0.095237,            0.024024,           0.0073256,            0.051319,           0.0099294,           0.0099294,           0.0099294
                   9,            0.038598,            0.017955,            0.073029,             0.39156,             0.27431,             0.15215,            0.073495,            0.027335,           0.0076822,              0.0514,           0.0099079,           0.0099079,           0.0099079
                  10,            0.039606,            0.018071,            0.072665,             0.10463,             0.53869,             0.18917,             0.10429,            0.022369,           0.0062559,            0.049667,           0.0098835,           0.0098835,           0.0098835
                  11,            0.037811,            0.017355,            0.071724,             0.37086,             0.29162,             0.19588,             0.11773,            0.021726,           0.0057404,            0.048684,           0.0098563,           0.0098563,           0.0098563
                  12,             0.03589,            0.016754,            0.069897,             0.18692,             0.35147,             0.16232,            0.085884,            0.023781,           0.0067191,            0.048544,           0.0098264,           0.0098264,           0.0098264
                  13,            0.035984,            0.016267,            0.068854,             0.22825,             0.45718,             0.24459,             0.14682,            0.021369,           0.0058064,            0.046707,           0.0097936,           0.0097936,           0.0097936
                  14,            0.034797,            0.015879,            0.070191,             0.13489,             0.55482,             0.22554,             0.14344,              0.0194,           0.0055595,             0.04486,           0.0097581,           0.0097581,           0.0097581
                  15,            0.034253,            0.015618,             0.06931,              0.2315,             0.37438,             0.22087,             0.12927,            0.022108,           0.0064054,            0.046438,           0.0097199,           0.0097199,           0.0097199
                  16,            0.033254,            0.015483,            0.067853,             0.34327,             0.49057,              0.2823,             0.18218,            0.021278,           0.0053763,            0.043415,           0.0096789,           0.0096789,           0.0096789
                  17,            0.032608,            0.015304,            0.066191,             0.19552,             0.63224,             0.30382,             0.18129,            0.021441,           0.0047236,            0.042267,           0.0096353,           0.0096353,           0.0096353
                  18,            0.034178,            0.014964,            0.066319,              0.5665,             0.32257,             0.32141,             0.20764,            0.020667,           0.0049084,            0.041424,            0.009589,            0.009589,            0.009589
                  19,            0.033061,            0.015412,            0.065429,             0.14033,             0.56955,             0.28625,             0.18935,            0.022095,           0.0054041,            0.043757,           0.0095401,           0.0095401,           0.0095401
                  20,            0.031778,            0.014337,            0.063742,              0.1758,             0.65449,             0.35661,             0.22458,            0.019826,           0.0048147,            0.039657,           0.0094886,           0.0094886,           0.0094886
                  21,            0.032196,            0.014689,            0.064378,             0.35152,             0.53784,             0.36322,             0.22649,            0.019715,           0.0047865,            0.039348,           0.0094346,           0.0094346,           0.0094346
