               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.060389,            0.023288,             0.06783,             0.20121,            0.069497,           0.0077151,           0.0018877,            0.037569,            0.010343,            0.052718,           0.0033328,           0.0033328,            0.070005
                   1,            0.039756,            0.021109,            0.065953,             0.25763,             0.29532,            0.098413,            0.050714,            0.021485,           0.0062245,            0.051881,            0.006666,            0.006666,            0.040004
                   2,            0.031805,            0.016749,            0.061123,              0.3397,              0.3948,             0.24373,             0.15942,            0.017071,            0.005047,             0.04553,           0.0099985,           0.0099985,            0.010004
                   3,            0.028057,            0.014539,            0.055264,             0.48289,             0.49605,             0.48031,             0.34428,            0.015102,           0.0042529,            0.037316,           0.0099978,           0.0099978,           0.0099978
                   4,            0.026371,            0.013518,            0.049428,             0.68109,              0.5845,             0.70166,               0.514,            0.014544,           0.0040096,            0.032324,           0.0099978,           0.0099978,           0.0099978
                   5,            0.025766,            0.012986,            0.044388,             0.66295,             0.74893,             0.78673,             0.58504,            0.014114,           0.0037967,            0.027539,           0.0099961,           0.0099961,           0.0099961
                   6,            0.025139,             0.01261,            0.039917,             0.77947,             0.76034,             0.84309,             0.62973,            0.014167,           0.0037398,            0.023325,           0.0099938,           0.0099938,           0.0099938
                   7,            0.024858,            0.012277,            0.036936,             0.81966,             0.78192,             0.87228,             0.66941,            0.013256,           0.0036621,            0.023048,           0.0099911,           0.0099911,           0.0099911
                   8,            0.024216,            0.012144,              0.0342,             0.81708,             0.82875,             0.87597,             0.67887,            0.013107,           0.0035236,            0.023119,           0.0099879,           0.0099879,           0.0099879
                   9,            0.023908,            0.012007,            0.032505,              0.8577,             0.84094,             0.89702,             0.70621,             0.01293,            0.003444,            0.023045,           0.0099842,           0.0099842,           0.0099842
                  10,            0.023675,            0.011877,            0.030509,             0.87146,             0.84736,             0.90513,             0.71574,            0.012491,           0.0033362,            0.024015,             0.00998,             0.00998,             0.00998
                  11,            0.023181,            0.011681,             0.02886,              0.8752,             0.87009,              0.9161,             0.72822,            0.012269,            0.003349,            0.023687,           0.0099753,           0.0099753,           0.0099753
                  12,            0.023049,            0.011511,             0.02758,             0.89643,             0.87392,             0.93437,             0.74558,            0.012223,           0.0033167,            0.021513,           0.0099702,           0.0099702,           0.0099702
                  13,            0.022668,            0.011348,            0.026766,             0.90689,             0.85768,             0.93341,             0.74995,            0.011917,           0.0032682,            0.021552,           0.0099645,           0.0099645,           0.0099645
                  14,            0.022597,            0.011342,            0.026024,             0.88869,             0.88493,             0.92303,             0.74136,            0.011606,           0.0032372,            0.023227,           0.0099584,           0.0099584,           0.0099584
                  15,            0.022282,            0.011196,            0.025005,              0.8973,             0.88357,             0.94006,             0.75615,            0.011482,           0.0032311,            0.020938,           0.0099517,           0.0099517,           0.0099517
                  16,            0.022144,             0.01108,            0.024285,             0.87436,             0.90888,             0.93743,             0.76418,            0.011321,           0.0031317,            0.022426,           0.0099446,           0.0099446,           0.0099446
                  17,            0.021841,            0.010999,             0.02388,             0.88991,             0.91391,             0.94055,             0.76594,            0.011381,           0.0031308,            0.023056,            0.009937,            0.009937,            0.009937
                  18,            0.021784,            0.010957,            0.022944,             0.89712,             0.92321,             0.94869,             0.77215,            0.011017,           0.0030708,            0.019736,           0.0099289,           0.0099289,           0.0099289
                  19,            0.021654,            0.010843,            0.022663,             0.90732,             0.90501,             0.94563,             0.77425,            0.010995,           0.0030951,            0.019954,           0.0099203,           0.0099203,           0.0099203
                  20,            0.021387,            0.010747,            0.022177,             0.91485,             0.90342,              0.9396,             0.76898,            0.010976,           0.0030486,             0.02207,           0.0099112,           0.0099112,           0.0099112
                  21,            0.021306,            0.010762,            0.022033,             0.92694,             0.90535,             0.94102,             0.77313,             0.01085,           0.0030143,            0.023442,           0.0099017,           0.0099017,           0.0099017
                  22,            0.021194,            0.010629,            0.021337,             0.90517,              0.9208,             0.94392,             0.77809,            0.010914,           0.0030407,             0.02423,           0.0098916,           0.0098916,           0.0098916
                  23,            0.021083,            0.010651,            0.020846,             0.90409,             0.92243,             0.95027,             0.78578,            0.010718,           0.0030143,            0.022528,           0.0098811,           0.0098811,           0.0098811
                  24,             0.02106,            0.010614,            0.020271,             0.91164,             0.90764,             0.95248,             0.78939,            0.010625,           0.0029851,            0.021764,           0.0098701,           0.0098701,           0.0098701
